Geographic Information,Unnamed: 1,Unnamed: 2,All Ages,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Age 0-17,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Age 5-17 in Families,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Median Household Income,Unnamed: 22,Unnamed: 23,Age 0-4,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
State FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
00,US,United States,48208387,47966830,48449944,15.5,15.4,15.6,15686012,15564145,15807879,21.7,21.5,21.9,10714518,10632252,10796784,20.4,20.2,20.6,53657,53564,53750,4658187,4609104,4707270,23.9,23.7,24.1
01,AL,Alabama,905682,888317,923047,19.2,18.8,19.6,298682,290188,307176,27.4,26.6,28.2,207154,199920,214388,25.9,25,26.8,42917,42335,43499,88203,83938,92468,30.6,29.1,32.1
02,AK,Alaska,81622,77611,85633,11.4,10.8,12,28273,26300,30246,15.5,14.4,16.6,18113,16500,19726,14.1,12.8,15.4,70898,69423,72373,9170,8090,10250,17.4,15.3,19.5
04,AZ,Arizona,1195889,1175667,1216111,18.2,17.9,18.5,406457,396052,416862,25.6,24.9,26.3,278735,269805,287665,24,23.2,24.8,50036,49561,50511,118958,113468,124448,28.4,27.1,29.7
05,AR,Arkansas,539999,528604,551394,18.7,18.3,19.1,183334,177391,189277,26.3,25.4,27.2,123704,118685,128723,24.5,23.5,25.5,41335,40702,41968,55833,52857,58809,29.7,28.1,31.3
06,CA,California,6253423,6203456,6303390,16.4,16.3,16.5,2040811,2011678,2069944,22.6,22.3,22.9,1424469,1398503,1450435,21.9,21.5,22.3,61927,61689,62165,575759,562058,589460,23.4,22.8,24
08,CO,Colorado,632987,617871,648103,12.1,11.8,12.4,191679,183332,200026,15.6,14.9,16.3,133066,125733,140399,14.9,14.1,15.7,61324,60846,61802,53751,49938,57564,16.3,15.1,17.5
09,CT,Connecticut,375281,364395,386167,10.8,10.5,11.1,113733,107953,119513,14.9,14.1,15.7,78909,73844,83974,13.7,12.8,14.6,70007,69219,70795,31176,28561,33791,16.8,15.4,18.2
10,DE,Delaware,118032,113079,122985,13,12.5,13.5,38543,36281,40805,19.2,18.1,20.3,25833,23961,27705,17.8,16.5,19.1,59853,58463,61243,11983,10803,13163,21.8,19.7,23.9
11,DC,District of Columbia,114790,108967,120613,18.4,17.5,19.3,32807,29187,36427,28.9,25.7,32.1,20378,17109,23647,28.6,24,33.2,69992,68375,71609,11879,10525,13233,28.3,25.1,31.5
12,FL,Florida,3231142,3187670,3274614,16.6,16.4,16.8,962857,940621,985093,24.2,23.6,24.8,666307,647128,685486,22.9,22.2,23.6,47439,47113,47765,280898,270364,291432,26.5,25.5,27.5
13,GA,Georgia,1802783,1775584,1829982,18.4,18.1,18.7,646960,631217,662703,26.3,25.7,26.9,447407,433676,461138,24.8,24,25.6,49240,48708,49772,191807,184192,199422,29.6,28.4,30.8
15,HI,Hawaii,158266,151850,164682,11.5,11,12,45637,42587,48687,15.2,14.2,16.2,31378,28808,33948,14.9,13.7,16.1,69549,68236,70862,12875,11340,14410,14.6,12.9,16.3
16,ID,Idaho,237604,230083,245125,14.8,14.3,15.3,80668,76639,84697,19,18.1,19.9,54061,50551,57571,17.3,16.2,18.4,47572,46434,48710,24774,22973,26575,22.4,20.8,24
17,IL,Illinois,1802337,1778953,1825721,14.3,14.1,14.5,591750,577617,605883,20.1,19.6,20.6,404950,392935,416965,18.8,18.2,19.4,57458,57035,57881,175611,168354,182868,22.7,21.8,23.6
18,IN,Indiana,968437,950798,986076,15.2,14.9,15.5,328349,318378,338320,21.2,20.6,21.8,217465,209291,225639,19.3,18.6,20,49384,48906,49862,103837,98555,109119,25.4,24.1,26.7
19,IA,Iowa,368678,358553,378803,12.3,12,12.6,110382,104929,115835,15.5,14.7,16.3,74948,69961,79935,14.5,13.5,15.5,53816,53087,54545,31946,29841,34051,16.7,15.6,17.8
20,KS,Kansas,381506,371806,391206,13.5,13.2,13.8,125562,120243,130881,17.6,16.9,18.3,83873,79397,88349,16.4,15.5,17.3,52392,51712,53072,38604,35853,41355,19.6,18.2,21
21,KY,Kentucky,812803,797212,828394,19,18.6,19.4,256368,249013,263723,25.9,25.2,26.6,171281,165044,177518,24,23.1,24.9,42914,42243,43585,79636,75937,83335,29.7,28.3,31.1
22,LA,Louisiana,898902,882243,915561,19.9,19.5,20.3,307469,298623,316315,28,27.2,28.8,207577,200114,215040,26.3,25.4,27.2,44680,43971,45389,95627,91157,100097,31.6,30.1,33.1
23,ME,Maine,181737,175900,187574,14,13.5,14.5,47862,45193,50531,19,17.9,20.1,31873,29590,34156,17,15.8,18.2,49381,48366,50396,14555,13226,15884,23,20.9,25.1
24,MD,Maryland,604762,588802,620722,10.4,10.1,10.7,183531,174546,192516,13.8,13.1,14.5,126829,119057,134601,13.2,12.4,14,73851,73027,74675,51742,47493,55991,14.3,13.1,15.5
25,MA,Massachusetts,760211,743843,776579,11.7,11.4,12,209291,200777,217805,15.3,14.7,15.9,143026,135555,150497,14.2,13.5,14.9,69200,68303,70097,61154,57232,65076,17.1,16,18.2
26,MI,Michigan,1567465,1544878,1590052,16.2,16,16.4,492257,482045,502469,22.6,22.1,23.1,336070,327094,345046,20.8,20.2,21.4,49755,49373,50137,144887,140024,149750,26,25.1,26.9
27,MN,Minnesota,607870,594503,621237,11.4,11.1,11.7,186025,178092,193958,14.8,14.2,15.4,123053,116214,129892,13.5,12.8,14.2,61473,61010,61936,57480,53738,61222,16.8,15.7,17.9
28,MS,Mississippi,634960,621876,648044,21.9,21.4,22.4,220885,213417,228353,30.7,29.7,31.7,154129,147643,160615,29.4,28.2,30.6,39738,38998,40478,63695,60086,67304,33.3,31.4,35.2
29,MO,Missouri,908394,890929,925859,15.5,15.2,15.8,289287,279932,298642,21.3,20.6,22,192099,184094,200104,19.5,18.7,20.3,48288,47734,48842,89931,85139,94723,24.7,23.4,26
30,MT,Montana,151915,146451,157379,15.2,14.7,15.7,42150,39999,44301,19.2,18.2,20.2,28508,26711,30305,18,16.9,19.1,46608,45512,47704,12452,11325,13579,20.8,18.9,22.7
31,NE,Nebraska,225054,218509,231599,12.3,11.9,12.7,73270,69375,77165,16,15.2,16.8,48249,45075,51423,14.7,13.7,15.7,52803,52139,53467,23075,20914,25236,18,16.3,19.7
32,NV,Nevada,430447,418251,442643,15.4,15,15.8,144947,138676,151218,22.2,21.2,23.2,96913,91607,102219,20.2,19.1,21.3,51487,50828,52146,45395,42193,48597,26.3,24.4,28.2
33,NH,New Hampshire,117822,112610,123034,9.2,8.8,9.6,33155,30479,35831,12.6,11.6,13.6,22097,19783,24411,11.1,9.9,12.3,66469,65316,67622,9641,8415,10867,15.2,13.3,17.1
34,NJ,New Jersey,972441,954252,990630,11.1,10.9,11.3,314073,303483,324663,15.8,15.3,16.3,216685,207290,226080,14.8,14.2,15.4,71968,71536,72400,91945,86798,97092,17.6,16.6,18.6
35,NM,New Mexico,420388,409771,431005,20.6,20.1,21.1,138918,133752,144084,28,27,29,93819,89538,98100,26.2,25,27.4,44905,44100,45710,42581,39913,45249,31.5,29.5,33.5
36,NY,New York,3082613,3046367,3118859,16,15.8,16.2,949253,930163,968343,22.9,22.4,23.4,646557,631790,661324,21.7,21.2,22.2,58771,58381,59161,284767,272691,296843,24.6,23.6,25.6
37,NC,North Carolina,1663954,1640565,1687343,17.2,17,17.4,544149,530093,558205,24.1,23.5,24.7,373438,361052,385824,22.6,21.8,23.4,46596,46219,46973,161245,154616,167874,27.1,26,28.2
38,ND,North Dakota,79203,75164,83242,11.1,10.5,11.7,22572,20816,24328,13.7,12.6,14.8,14011,12593,15429,12.3,11.1,13.5,60227,58786,61668,7779,6781,8777,15.7,13.7,17.7
39,OH,Ohio,1778288,1755728,1800848,15.8,15.6,16,588618,574885,602351,22.7,22.2,23.2,395792,383745,407839,20.8,20.2,21.4,49349,48991,49707,180249,174013,186485,26.7,25.8,27.6
40,OK,Oklahoma,623162,611984,634340,16.6,16.3,16.9,209022,202988,215056,22.4,21.8,23,141065,135957,146173,21.1,20.3,21.9,47524,47077,47971,63940,60806,67074,24.8,23.6,26
41,OR,Oregon,637156,621361,652951,16.4,16,16.8,179110,171930,186290,21.3,20.4,22.2,117394,111176,123612,19.3,18.3,20.3,51088,50607,51569,56119,52798,59440,25,23.5,26.5
42,PA,Pennsylvania,1679008,1656324,1701692,13.6,13.4,13.8,510371,497968,522774,19.2,18.7,19.7,345676,334721,356631,17.8,17.2,18.4,53224,52810,53638,152168,146131,158205,21.7,20.8,22.6
44,RI,Rhode Island,149825,144246,155404,14.8,14.3,15.3,44563,42149,46977,21.2,20.1,22.3,29926,27885,31967,19.2,17.9,20.5,54797,53523,56071,13747,12527,14967,25.6,23.3,27.9
45,SC,South Carolina,838065,822623,853507,17.9,17.6,18.2,281738,272769,290707,26.4,25.6,27.2,195415,187815,203015,25.1,24.1,26.1,45337,44839,45835,81681,77091,86271,28.7,27.1,30.3
46,SD,South Dakota,115906,111520,120292,14.1,13.6,14.6,37836,35834,39838,18.4,17.4,19.4,23496,21935,25057,16.1,15,17.2,51059,50111,52007,13429,12229,14629,22.7,20.7,24.7
47,TN,Tennessee,1165245,1145236,1185254,18.2,17.9,18.5,380159,369180,391138,25.9,25.2,26.6,260262,250713,269811,24.3,23.4,25.2,44357,43810,44904,113943,108558,119328,29.2,27.8,30.6
48,TX,Texas,4519548,4474578,4564518,17.2,17,17.4,1721843,1695196,1748490,24.5,24.1,24.9,1185167,1162199,1208135,23.3,22.8,23.8,53067,52694,53440,510649,498392,522906,26.5,25.9,27.1
49,UT,Utah,341587,330845,352329,11.8,11.4,12.2,120155,113195,127115,13.4,12.6,14.2,81347,75358,87336,12.7,11.8,13.6,60943,60307,61579,35687,32291,39083,14.4,13,15.8
50,VT,Vermont,72294,68859,75729,12,11.4,12.6,18374,16966,19782,15.4,14.2,16.6,12473,11267,13679,14.1,12.7,15.5,54153,52739,55567,5157,4469,5845,17.4,15.1,19.7
